# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkGetClientConfig/parallel         	493167488	         2.334 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	512752675	         2.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	424347902	         2.464 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	510034576	         2.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	493714989	         2.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	503878728	         2.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	478821699	         2.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	503694457	         2.487 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	490446592	         2.435 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel         	507575205	         2.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.7074 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6470 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6968 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6344 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6345 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6441 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6313 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6418 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-4       	1000000000	         0.6274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5039 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5101 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5047 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5014 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5082 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5105 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5116 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5146 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5025 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/parallel-8       	1000000000	         0.5253 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/ghostunnel/ghostunnel/certloader	142.312s
